,CH3,CH4
Second,Volt,Volt
-1.96480e-01,3.03e-01,-1.26e-02, 
-1.96400e-01,3.03e-01,-1.39e-02, 
-1.96320e-01,3.03e-01,-1.39e-02, 
-1.96240e-01,3.03e-01,-1.39e-02, 
-1.96160e-01,3.04e-01,-1.39e-02, 
-1.96080e-01,3.04e-01,-1.39e-02, 
-1.96000e-01,3.05e-01,-1.26e-02, 
-1.95920e-01,3.05e-01,-1.39e-02, 
-1.95840e-01,3.04e-01,-1.39e-02, 
-1.95760e-01,3.05e-01,-1.39e-02, 
-1.95680e-01,3.05e-01,-1.26e-02, 
-1.95600e-01,3.05e-01,-1.39e-02, 
-1.95520e-01,3.05e-01,-1.39e-02, 
-1.95440e-01,3.05e-01,-1.39e-02, 
-1.95360e-01,3.05e-01,-1.26e-02, 
-1.95280e-01,3.06e-01,-1.26e-02, 
-1.95200e-01,3.06e-01,-1.39e-02, 
-1.95120e-01,3.06e-01,-1.39e-02, 
-1.95040e-01,3.06e-01,-1.39e-02, 
-1.94960e-01,3.05e-01,-1.39e-02, 
-1.94880e-01,3.06e-01,-1.39e-02, 
-1.94800e-01,3.05e-01,-1.39e-02, 
-1.94720e-01,3.06e-01,-1.39e-02, 
-1.94640e-01,3.06e-01,-1.39e-02, 
-1.94560e-01,3.06e-01,-1.39e-02, 
-1.94480e-01,3.06e-01,-1.39e-02, 
-1.94400e-01,3.06e-01,-1.39e-02, 
-1.94320e-01,3.06e-01,-1.26e-02, 
-1.94240e-01,3.07e-01,-1.26e-02, 
-1.94160e-01,3.07e-01,-1.39e-02, 
-1.94080e-01,3.07e-01,-1.39e-02, 
-1.94000e-01,3.07e-01,-1.39e-02, 
-1.93920e-01,3.08e-01,-1.39e-02, 
-1.93840e-01,3.07e-01,-1.39e-02, 
-1.93760e-01,3.08e-01,-1.26e-02, 
-1.93680e-01,3.08e-01,-1.26e-02, 
-1.93600e-01,3.08e-01,-1.39e-02, 
-1.93520e-01,3.08e-01,-1.26e-02, 
-1.93440e-01,3.09e-01,-1.39e-02, 
-1.93360e-01,3.10e-01,-1.26e-02, 
-1.93280e-01,3.10e-01,-1.39e-02, 
-1.93200e-01,3.10e-01,-1.39e-02, 
-1.93120e-01,3.11e-01,-1.39e-02, 
-1.93040e-01,3.11e-01,-1.39e-02, 
-1.92960e-01,3.12e-01,-1.26e-02, 
-1.92880e-01,3.11e-01,-1.39e-02, 
-1.92800e-01,3.11e-01,-1.26e-02, 
-1.92720e-01,3.11e-01,-1.26e-02, 
-1.92640e-01,3.11e-01,-1.39e-02, 
-1.92560e-01,3.11e-01,-1.39e-02, 
-1.92480e-01,3.12e-01,-1.26e-02, 
-1.92400e-01,3.11e-01,-1.26e-02, 
-1.92320e-01,3.12e-01,-1.39e-02, 
-1.92240e-01,3.12e-01,-1.26e-02, 
-1.92160e-01,3.11e-01,-1.39e-02, 
-1.92080e-01,3.11e-01,-1.26e-02, 
-1.92000e-01,3.12e-01,-1.26e-02, 
-1.91920e-01,3.12e-01,-1.39e-02, 
-1.91840e-01,3.12e-01,-1.39e-02, 
-1.91760e-01,3.12e-01,-1.39e-02, 
-1.91680e-01,3.12e-01,-1.26e-02, 
-1.91600e-01,3.12e-01,-1.26e-02, 
-1.91520e-01,3.12e-01,-1.39e-02, 
-1.91440e-01,3.13e-01,-1.39e-02, 
-1.91360e-01,3.13e-01,-1.39e-02, 
-1.91280e-01,3.13e-01,-1.26e-02, 
-1.91200e-01,3.14e-01,-1.26e-02, 
-1.91120e-01,3.14e-01,-1.26e-02, 
-1.91040e-01,3.15e-01,-1.26e-02, 
-1.90960e-01,3.15e-01,-1.26e-02, 
-1.90880e-01,3.15e-01,-1.26e-02, 
-1.90800e-01,3.16e-01,-1.26e-02, 
-1.90720e-01,3.16e-01,-1.26e-02, 
-1.90640e-01,3.16e-01,-1.39e-02, 
-1.90560e-01,3.16e-01,-1.39e-02, 
-1.90480e-01,3.17e-01,-1.26e-02, 
-1.90400e-01,3.17e-01,-1.39e-02, 
-1.90320e-01,3.17e-01,-1.26e-02, 
-1.90240e-01,3.17e-01,-1.39e-02, 
-1.90160e-01,3.17e-01,-1.26e-02, 
-1.90080e-01,3.17e-01,-1.39e-02, 
-1.90000e-01,3.17e-01,-1.26e-02, 
-1.89920e-01,3.17e-01,-1.26e-02, 
-1.89840e-01,3.17e-01,-1.39e-02, 
-1.89760e-01,3.17e-01,-1.39e-02, 
-1.89680e-01,3.17e-01,-1.39e-02, 
-1.89600e-01,3.17e-01,-1.39e-02, 
-1.89520e-01,3.17e-01,-1.39e-02, 
-1.89440e-01,3.18e-01,-1.39e-02, 
-1.89360e-01,3.17e-01,-1.39e-02, 
-1.89280e-01,3.19e-01,-1.39e-02, 
-1.89200e-01,3.18e-01,-1.39e-02, 
-1.89120e-01,3.18e-01,-1.26e-02, 
-1.89040e-01,3.18e-01,-1.26e-02, 
-1.88960e-01,3.19e-01,-1.26e-02, 
-1.88880e-01,3.19e-01,-1.26e-02, 
-1.88800e-01,3.20e-01,-1.26e-02, 
-1.88720e-01,3.20e-01,-1.26e-02, 
-1.88640e-01,3.21e-01,-1.26e-02, 
-1.88560e-01,3.20e-01,-1.26e-02, 
-1.88480e-01,3.21e-01,-1.26e-02, 
-1.88400e-01,3.21e-01,-1.39e-02, 
-1.88320e-01,3.21e-01,-1.26e-02, 
-1.88240e-01,3.21e-01,-1.26e-02, 
-1.88160e-01,3.21e-01,-1.39e-02, 
-1.88080e-01,3.21e-01,-1.39e-02, 
-1.88000e-01,3.21e-01,-1.39e-02, 
-1.87920e-01,3.22e-01,-1.26e-02, 
-1.87840e-01,3.23e-01,-1.26e-02, 
-1.87760e-01,3.23e-01,-1.26e-02, 
-1.87680e-01,3.23e-01,-1.26e-02, 
-1.87600e-01,3.23e-01,-1.26e-02, 
-1.87520e-01,3.24e-01,-1.26e-02, 
-1.87440e-01,3.22e-01,-1.26e-02, 
-1.87360e-01,3.23e-01,-1.26e-02, 
-1.87280e-01,3.24e-01,-1.26e-02, 
-1.87200e-01,3.23e-01,-1.26e-02, 
-1.87120e-01,3.23e-01,-1.39e-02, 
-1.87040e-01,3.24e-01,-1.26e-02, 
-1.86960e-01,3.24e-01,-1.26e-02, 
-1.86880e-01,3.24e-01,-1.26e-02, 
-1.86800e-01,3.24e-01,-1.39e-02, 
-1.86720e-01,3.25e-01,-1.26e-02, 
-1.86640e-01,3.25e-01,-1.26e-02, 
-1.86560e-01,3.25e-01,-1.26e-02, 
-1.86480e-01,3.25e-01,-1.26e-02, 
-1.86400e-01,3.25e-01,-1.26e-02, 
-1.86320e-01,3.25e-01,-1.26e-02, 
-1.86240e-01,3.25e-01,-1.26e-02, 
-1.86160e-01,3.25e-01,-1.26e-02, 
-1.86080e-01,3.26e-01,-1.26e-02, 
-1.86000e-01,3.26e-01,-1.26e-02, 
-1.85920e-01,3.26e-01,-1.26e-02, 
-1.85840e-01,3.27e-01,-1.39e-02, 
-1.85760e-01,3.26e-01,-1.26e-02, 
-1.85680e-01,3.26e-01,-1.26e-02, 
-1.85600e-01,3.26e-01,-1.26e-02, 
-1.85520e-01,3.27e-01,-1.26e-02, 
-1.85440e-01,3.27e-01,-1.26e-02, 
-1.85360e-01,3.27e-01,-1.26e-02, 
-1.85280e-01,3.27e-01,-1.26e-02, 
-1.85200e-01,3.27e-01,-1.26e-02, 
-1.85120e-01,3.28e-01,-1.26e-02, 
-1.85040e-01,3.28e-01,-1.26e-02, 
-1.84960e-01,3.28e-01,-1.26e-02, 
-1.84880e-01,3.28e-01,-1.26e-02, 
-1.84800e-01,3.28e-01,-1.26e-02, 
-1.84720e-01,3.28e-01,-1.26e-02, 
-1.84640e-01,3.29e-01,-1.26e-02, 
-1.84560e-01,3.29e-01,-1.26e-02, 
-1.84480e-01,3.29e-01,-1.26e-02, 
-1.84400e-01,3.29e-01,-1.26e-02, 
-1.84320e-01,3.28e-01,-1.26e-02, 
-1.84240e-01,3.29e-01,-1.26e-02, 
-1.84160e-01,3.29e-01,-1.26e-02, 
-1.84080e-01,3.29e-01,-1.26e-02, 
-1.84000e-01,3.29e-01,-1.26e-02, 
-1.83920e-01,3.29e-01,-1.26e-02, 
-1.83840e-01,3.30e-01,-1.26e-02, 
-1.83760e-01,3.30e-01,-1.26e-02, 
-1.83680e-01,3.30e-01,-1.39e-02, 
-1.83600e-01,3.30e-01,-1.26e-02, 
-1.83520e-01,3.30e-01,-1.26e-02, 
-1.83440e-01,3.30e-01,-1.26e-02, 
-1.83360e-01,3.30e-01,-1.26e-02, 
-1.83280e-01,3.30e-01,-1.26e-02, 
-1.83200e-01,3.31e-01,-1.26e-02, 
-1.83120e-01,3.31e-01,-1.26e-02, 
-1.83040e-01,3.31e-01,-1.13e-02, 
-1.82960e-01,3.32e-01,-1.26e-02, 
-1.82880e-01,3.31e-01,-1.26e-02, 
-1.82800e-01,3.32e-01,-1.26e-02, 
-1.82720e-01,3.32e-01,-1.26e-02, 
-1.82640e-01,3.32e-01,-1.26e-02, 
-1.82560e-01,3.32e-01,-1.26e-02, 
-1.82480e-01,3.32e-01,-1.26e-02, 
-1.82400e-01,3.33e-01,-1.26e-02, 
-1.82320e-01,3.33e-01,-1.26e-02, 
-1.82240e-01,3.32e-01,-1.26e-02, 
-1.82160e-01,3.34e-01,-1.26e-02, 
-1.82080e-01,3.34e-01,-1.26e-02, 
-1.82000e-01,3.34e-01,-1.26e-02, 
-1.81920e-01,3.34e-01,-1.26e-02, 
-1.81840e-01,3.34e-01,-1.26e-02, 
-1.81760e-01,3.34e-01,-1.26e-02, 
-1.81680e-01,3.34e-01,-1.26e-02, 
-1.81600e-01,3.34e-01,-1.13e-02, 
-1.81520e-01,3.34e-01,-1.26e-02, 
-1.81440e-01,3.34e-01,-1.26e-02, 
-1.81360e-01,3.34e-01,-1.26e-02, 
-1.81280e-01,3.35e-01,-1.26e-02, 
-1.81200e-01,3.35e-01,-1.26e-02, 
-1.81120e-01,3.35e-01,-1.26e-02, 
-1.81040e-01,3.35e-01,-1.26e-02, 
